City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Qostanay,KZ,2021-12-12 23:54:52,53.1667,63.5833,3.49,78,0,6.71
193,Hammerfest,NO,2021-12-12 23:54:52,70.6634,23.6821,32.45,100,90,10.36
194,Hailar,CN,2021-12-12 23:54:52,49.2,119.7,8.56,85,99,11.83
195,Verkhoyansk,RU,2021-12-12 23:54:53,67.5447,133.385,-43.2,100,97,2.51
196,Nueva Loja,EC,2021-12-12 23:54:53,0.0847,-76.8828,73.76,95,77,2.3
197,Namibe,AO,2021-12-12 23:54:53,-15.1961,12.1522,70.66,80,61,6.2
198,Batemans Bay,AU,2021-12-12 23:54:54,-35.7167,150.1833,78.19,61,2,6.33
199,Komsomolskiy,UZ,2021-12-12 23:54:54,40.4272,71.7189,35.02,60,53,6.91
200,Pavlovsk,RU,2021-12-12 23:54:54,50.4578,40.1081,28.54,51,100,13.56
201,Gao,ML,2021-12-12 23:54:55,16.6362,1.637,73.18,10,98,10.49
202,Piney Green,US,2021-12-12 23:54:55,34.716,-77.3202,49.93,61,1,5.75
203,Ajaccio,FR,2021-12-12 23:54:46,42.0,8.9167,39.25,75,0,9.22
204,Uri,IN,2021-12-12 23:54:56,34.0833,74.0333,38.77,42,69,6.76
205,Kabanjahe,ID,2021-12-12 23:54:56,3.1001,98.4908,61.56,92,99,0.58
206,Superior,US,2021-12-12 23:54:57,46.7208,-92.1041,39.76,59,1,9.22
207,Ketchikan,US,2021-12-12 23:54:57,55.3422,-131.6461,26.71,83,95,5.95
208,Kieta,PG,2021-12-12 23:54:57,-6.2167,155.6333,84.9,74,95,3.78
209,Mukhen,RU,2021-12-12 23:54:58,48.1,136.1,7.23,92,100,10.02
210,Sawakin,SD,2021-12-12 23:54:58,19.1059,37.3321,80.38,71,4,10.87
211,Fatehpur,IN,2021-12-12 23:54:59,25.9333,80.8,54.48,51,1,1.19
212,Shimoda,JP,2021-12-12 23:54:59,34.6667,138.95,57.56,56,0,14.85
213,Aksarka,RU,2021-12-12 23:54:59,66.5606,67.7975,-10.32,100,91,1.92
214,Stony Plain,CA,2021-12-12 23:50:41,53.5334,-114.0021,19.51,93,75,0.0
215,Kaeo,NZ,2021-12-12 23:55:00,-35.1,173.7833,72.32,96,100,6.64
216,Ruwi,OM,2021-12-12 23:55:00,23.5996,58.5507,69.51,66,41,5.39
217,Valparaiso,CL,2021-12-12 23:55:00,-33.0393,-71.6273,67.64,56,0,17.27
218,Severo-Kurilsk,RU,2021-12-12 23:53:58,50.6789,156.125,33.76,85,77,10.76
219,Cockburn Town,TC,2021-12-12 23:55:01,21.4612,-71.1419,78.76,73,40,9.22
220,Nushki,PK,2021-12-12 23:55:01,29.5542,66.0215,42.69,28,0,1.45
221,Rehoboth,NA,2021-12-12 23:55:02,-23.3167,17.0833,70.61,18,5,5.3
222,Portree,GB,2021-12-12 23:55:02,57.4129,-6.1942,45.86,91,100,32.79
223,Yarim,YE,2021-12-12 23:55:02,14.298,44.3779,39.83,55,0,5.88
224,Nhulunbuy,AU,2021-12-12 23:55:03,-12.2333,136.7667,90.21,58,40,8.05
225,Bambous Virieux,MU,2021-12-12 23:55:03,-20.3428,57.7575,74.21,88,75,3.44
226,Saint-Georges,GD,2021-12-12 23:56:03,12.0564,-61.7485,76.68,94,75,23.02
227,Berlevag,NO,2021-12-12 23:56:04,70.8578,29.0864,24.8,90,95,15.41
228,Severnyy,RU,2021-12-12 23:56:04,50.677,36.5532,26.64,100,90,13.42
229,Severo-Yeniseyskiy,RU,2021-12-12 23:56:04,60.3725,93.0408,-16.87,100,96,2.71
230,Moorhead,US,2021-12-12 23:56:05,46.8739,-96.7676,39.07,74,1,5.01
231,Linxia,CN,2021-12-12 23:56:05,35.6003,103.2064,22.82,70,0,1.95
232,Te Anau,NZ,2021-12-12 23:56:05,-45.4167,167.7167,65.84,54,57,3.47
233,Naifaru,MV,2021-12-12 23:56:06,5.4444,73.3657,82.31,76,100,18.14
234,Emet,TR,2021-12-12 23:56:06,39.343,29.2585,47.89,83,96,3.87
235,Healdsburg,US,2021-12-12 23:56:07,38.6105,-122.8692,54.72,87,90,3.0
236,Henties Bay,NA,2021-12-12 23:56:07,-22.116,14.2845,60.85,90,0,6.93
237,Ahipara,NZ,2021-12-12 23:56:07,-35.1667,173.1667,70.03,94,100,7.83
238,Los Llanos De Aridane,ES,2021-12-12 23:56:08,28.6585,-17.9182,62.35,76,75,3.0
239,Soanierana Ivongo,MG,2021-12-12 23:56:08,-16.9167,49.5833,73.13,88,91,2.42
240,Lerum,SE,2021-12-12 23:56:09,57.7745,12.2697,36.21,97,90,4.61
241,Moron,AR,2021-12-12 23:53:22,-34.6534,-58.6198,76.98,75,86,5.35
242,Rio Grande City,US,2021-12-12 23:56:09,26.3798,-98.8203,66.88,26,1,6.87
243,Victoria,HK,2021-12-12 23:53:06,22.2855,114.1577,65.32,71,52,7.0
244,Concarneau,FR,2021-12-12 23:56:10,47.875,-3.9225,53.06,85,100,11.48
245,Kosovska Mitrovica,XK,2021-12-12 23:56:10,42.8833,20.8667,31.21,94,97,4.0
246,Cap Malheureux,MU,2021-12-12 23:56:10,-19.9842,57.6142,74.46,75,84,3.0
247,Katherine,AU,2021-12-12 23:56:10,-14.4667,132.2667,89.92,58,29,9.22
248,Bhairab Bazar,BD,2021-12-12 23:56:11,24.0667,90.9667,64.45,58,0,3.09
249,Magaria,NE,2021-12-12 23:56:11,12.9983,8.9099,69.15,17,43,9.73
250,Iranshahr,IR,2021-12-12 23:56:11,27.2025,60.6848,52.93,25,0,0.65
251,Rodrigues Alves,BR,2021-12-12 23:56:12,-7.738,-72.6509,76.03,93,95,3.22
252,Taldan,RU,2021-12-12 23:56:12,53.6667,124.8,-2.15,92,100,1.32
253,Kalangala,UG,2021-12-12 23:56:12,-0.3089,32.225,72.84,63,100,6.31
254,Clarksdale,US,2021-12-12 23:56:13,34.2001,-90.5709,46.9,53,1,0.0
255,Brokopondo,SR,2021-12-12 23:56:13,4.75,-55.1667,75.58,92,100,8.28
256,Praia Da Vitoria,PT,2021-12-12 23:56:13,38.7333,-27.0667,57.45,67,40,19.66
257,Grootfontein,NA,2021-12-12 23:56:14,-19.5667,18.1167,69.37,78,84,3.44
258,Christchurch,NZ,2021-12-12 23:54:57,-43.5333,172.6333,64.9,74,90,5.01
259,Hilo,US,2021-12-12 23:55:50,19.7297,-155.09,78.12,47,15,8.5
260,San Patricio,US,2021-12-12 23:56:15,28.017,-97.5169,63.54,45,0,7.99
261,Wajima,JP,2021-12-12 23:56:15,37.4,136.9,38.08,80,75,6.91
262,Lavrentiya,RU,2021-12-12 23:56:15,65.5833,-171.0,-14.62,88,18,2.93
263,Gazalkent,UZ,2021-12-12 23:56:16,41.5581,69.7708,39.56,83,90,5.91
264,Ust-Koksa,RU,2021-12-12 23:56:16,50.2696,85.6108,17.85,96,100,1.83
265,Panguna,PG,2021-12-12 23:56:16,-6.3164,155.4848,80.89,72,88,2.44
266,Merauke,ID,2021-12-12 23:56:17,-8.4667,140.3333,79.97,85,99,16.44
267,Iskateley,RU,2021-12-12 23:56:17,67.6803,53.1512,15.12,95,100,9.78
268,Nuuk,GL,2021-12-12 23:56:18,64.1835,-51.7216,3.65,91,7,10.76
269,Puerto Escondido,MX,2021-12-12 23:56:18,15.85,-97.0667,80.33,77,3,4.32
270,Santa Fe,AR,2021-12-12 23:56:19,-31.6333,-60.7,79.75,62,79,12.24
271,Suluktu,KG,2021-12-12 23:56:19,39.9337,69.57,26.08,58,91,1.83
272,Walvis Bay,NA,2021-12-12 23:57:20,-22.9575,14.5053,61.09,88,0,4.61
273,Hambantota,LK,2021-12-12 23:57:20,6.1241,81.1185,78.04,82,100,14.18
274,Ola,RU,2021-12-12 23:57:20,59.5833,151.2833,8.15,87,100,11.34
275,Kununurra,AU,2021-12-12 23:57:21,-15.7667,128.7333,93.18,49,24,8.05
276,Huarmey,PE,2021-12-12 23:57:21,-10.0681,-78.1522,69.24,81,80,8.19
277,Buala,SB,2021-12-12 23:57:21,-8.145,159.5921,85.55,74,99,8.88
278,Marzuq,YE,2021-12-12 23:57:22,14.4,46.4667,55.0,48,0,4.79
279,Mala,PE,2021-12-12 23:57:22,-12.6581,-76.6308,68.5,89,35,7.0
280,Madang,PG,2021-12-12 23:57:22,-5.2246,145.7966,82.98,75,100,3.38
281,Yagunovskiy,RU,2021-12-12 23:57:22,55.2828,85.978,-2.76,84,40,7.0
282,Talnakh,RU,2021-12-12 23:57:23,69.4865,88.3972,-26.39,81,70,1.05
283,Narsaq,GL,2021-12-12 23:57:23,60.9167,-46.05,10.08,75,3,9.28
284,Port Elizabeth,ZA,2021-12-12 23:57:23,-33.918,25.5701,71.1,88,90,6.91
285,Kadoma,JP,2021-12-12 23:57:24,34.7333,135.5833,49.98,58,20,11.5
286,Adiake,CI,2021-12-12 23:57:24,5.2863,-3.304,83.79,84,29,6.2
287,Shirvan,AZ,2021-12-12 23:57:24,39.9509,48.8994,48.54,75,100,2.89
288,Arlit,NE,2021-12-12 23:57:25,18.7369,7.3853,68.59,8,89,6.53
289,Tianpeng,CN,2021-12-12 23:57:25,30.9866,103.9393,48.67,83,86,2.01
290,Cabo San Lucas,MX,2021-12-12 23:54:39,22.8909,-109.9124,74.95,68,67,4.05
291,Tiksi,RU,2021-12-12 23:54:31,71.6872,128.8694,-18.42,100,100,2.89
