City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Westport,US,41.1415,-73.3579,53.91,48,1,4.0,clear sky
185,Port Macquarie,AU,-31.4333,152.9167,67.89,74,24,9.51,few clouds
186,Gaogou,CN,34.0175,119.1886,35.49,53,3,6.96,clear sky
187,La Carolina,ES,38.2756,-3.6153,51.73,54,0,5.03,clear sky
188,Unai,BR,-16.3575,-46.9061,74.34,91,98,3.8,overcast clouds
189,Tampin,MY,2.4701,102.2302,76.53,96,98,3.98,overcast clouds
190,Beyneu,KZ,45.3167,55.2,22.24,64,0,9.42,clear sky
191,Isangel,VU,-19.55,169.2667,82.51,83,75,13.8,broken clouds
192,Ballina,AU,-28.8667,153.5667,66.78,88,32,9.22,scattered clouds
193,Udachnyy,RU,66.4167,112.4,-51.86,100,68,3.31,broken clouds
194,Pangnirtung,CA,66.1451,-65.7125,5.0,66,75,5.75,broken clouds
195,Hoyanger,NO,61.2204,6.0749,42.49,99,100,9.51,overcast clouds
196,Baykit,RU,61.67,96.37,-27.27,99,88,2.46,overcast clouds
197,Atambua,ID,-9.1061,124.8925,74.26,89,6,1.83,clear sky
198,Zheleznodorozhnyy,RU,55.7503,38.0042,30.22,98,100,2.82,snow
199,Tovuz,AZ,40.9922,45.6289,43.59,87,99,2.82,overcast clouds
200,Snezhnogorsk,RU,69.1933,33.2531,26.38,98,100,6.87,overcast clouds
201,Bandiagara,ML,14.3501,-3.6104,81.12,14,78,9.8,broken clouds
202,Halifax,CA,44.6453,-63.5724,46.89,61,75,4.0,broken clouds
203,Bosaso,SO,11.2842,49.1816,74.07,69,0,6.29,clear sky
204,Faanui,PF,-16.4833,-151.75,81.46,71,75,13.85,broken clouds
205,Huilong,CN,31.8111,121.655,46.04,66,3,5.99,clear sky
206,Bubaque,GW,11.2833,-15.8333,81.5,66,96,14.18,overcast clouds
207,Pampa,US,35.5362,-100.9599,73.94,18,1,17.27,clear sky
208,Sankheda,IN,22.1667,73.5833,68.16,56,0,3.8,clear sky
209,Nome,US,64.5011,-165.4064,-5.73,54,1,8.05,clear sky
210,College,US,64.8569,-147.8028,-29.54,71,40,0.0,mist
211,Sisimiut,GL,66.9395,-53.6735,14.58,76,71,9.89,broken clouds
212,Show Low,US,34.2542,-110.0298,58.71,29,1,20.71,clear sky
213,Tobe,JP,33.7447,132.7901,38.66,73,5,4.36,clear sky
214,Kharp,RU,66.8014,65.8081,6.12,97,100,3.11,overcast clouds
215,Lata,PT,40.1629,-8.3327,59.41,77,1,4.92,clear sky
216,Taoudenni,ML,22.6783,-3.9836,69.35,24,99,11.05,overcast clouds
217,Wagga Wagga,AU,-35.1167,147.3667,69.6,82,95,3.44,overcast clouds
218,Sinnamary,GF,5.3833,-52.95,78.22,88,100,11.21,overcast clouds
219,Bundaberg,AU,-24.85,152.35,80.22,64,21,5.99,few clouds
220,Tabas,IR,33.5959,56.9244,46.83,39,0,2.48,clear sky
221,Hachinohe,JP,40.5,141.5,37.81,69,7,13.91,clear sky
222,Paramonga,PE,-10.6667,-77.8333,71.6,76,40,11.27,scattered clouds
223,Hervey Bay,AU,-25.2986,152.8535,80.04,81,7,3.0,clear sky
224,Yaguajay,CU,22.3272,-79.2378,79.65,72,27,17.54,scattered clouds
225,Lurgan,GB,54.4608,-6.3294,41.02,93,100,6.02,overcast clouds
226,Touros,BR,-5.1989,-35.4608,85.1,74,81,13.35,broken clouds
227,Evensk,RU,61.95,159.2333,6.17,75,100,35.12,overcast clouds
228,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,20.71,scattered clouds
229,Ternate,ID,0.8,127.4,81.07,82,100,9.35,overcast clouds
230,Turkistan,KZ,43.0,68.0,40.87,84,100,0.45,light rain
231,Bengkulu,ID,-3.8004,102.2655,75.2,89,50,3.31,scattered clouds
232,Morgantown,US,39.6295,-79.9559,51.1,40,1,10.36,clear sky
233,Olafsvik,IS,64.8945,-23.7142,38.75,93,100,18.05,overcast clouds
234,Provideniya,RU,64.3833,-173.3,-3.89,71,90,22.37,overcast clouds
235,Karratha,AU,-20.7377,116.8463,80.06,39,8,15.7,clear sky
236,Saint-Philippe,RE,-21.3585,55.7679,74.79,82,27,11.83,light rain
237,Picos,BR,-7.0769,-41.4669,91.8,31,85,5.46,overcast clouds
238,Amahai,ID,-3.3333,128.9167,78.8,83,74,3.51,broken clouds
239,Requena,ES,39.4883,-1.1004,45.72,73,0,1.5,clear sky
240,Tiksi,RU,71.6872,128.8694,-27.63,100,90,0.87,overcast clouds
241,Yulara,AU,-25.2406,130.9889,73.24,46,93,6.91,overcast clouds
242,Marrakesh,MA,31.6315,-8.0083,64.47,36,75,8.05,broken clouds
243,Chuy,UY,-33.6971,-53.4616,72.39,79,100,11.45,overcast clouds
244,Yar-Sale,RU,66.8333,70.8333,3.24,96,100,15.43,overcast clouds
245,Mbuji-Mayi,CD,-6.15,23.6,70.57,97,100,3.18,moderate rain
246,Ilulissat,GL,69.2167,-51.1,3.29,81,41,2.37,scattered clouds
247,Tall Kayf,TR,37.0833,41.0667,55.38,26,65,4.41,broken clouds
248,Layou,VC,13.2,-61.2667,81.88,83,75,14.97,broken clouds
249,Maceio,BR,-9.6658,-35.7353,81.84,78,75,17.27,broken clouds
250,Olga,RU,43.7444,135.2892,17.49,52,0,4.18,clear sky
251,Ahipara,NZ,-35.1667,173.1667,68.31,88,100,13.33,light rain
252,Primorsko-Akhtarsk,RU,46.0497,38.1747,40.41,80,100,11.48,overcast clouds
253,Buin,CL,-33.7333,-70.75,80.06,26,2,14.92,clear sky
254,Kununurra,AU,-15.7667,128.7333,80.58,78,65,4.61,broken clouds
255,Safranbolu,TR,41.2508,32.6942,46.29,80,100,1.21,overcast clouds
256,Polunochnoye,RU,60.8697,60.4153,17.38,90,100,3.51,overcast clouds
257,Atherton,GB,53.5237,-2.4935,47.28,94,100,0.27,moderate rain
258,Cabedelo,BR,-6.9811,-34.8339,83.07,77,94,12.46,overcast clouds
259,Clarence Town,AU,-32.5833,151.7833,69.35,76,50,2.13,scattered clouds
260,Gulu,UG,2.7746,32.299,74.89,38,86,2.42,overcast clouds
